address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0015e40c,snes_p16_0015e40c,memory-ppu,medium-high,0x0015a4c4,12,267,0,839b763d6d50821b204cdc974e59307dd83cdc04ede57a27919403b293a226d4,complete R5900 structural decompile
0x0015ecec,snes_p16_0015ecec,memory-ppu,medium-high,0x0015eb00,1,47,0,ff2706fd30857e22a5fb4dffeaa66c0b55c4a73380839364d4d0a5f3c36af76a,complete R5900 structural decompile
0x0015eeac,snes_p16_0015eeac,memory-ppu,medium-high,0x0015ea08,1,49,0,11002cd18fd54f3cdc9facb303c7e42eb314f815902066ef9c4121fac4cd77a0,complete R5900 structural decompile
0x0016ded4,snes_p16_0016ded4,cpu-audio-runtime,medium-high,0x0016f084,1,31,0,d78d81625d9d1f5848ac8227c18ee72d4d5725365c445006a16fb759d62c65cb,complete R5900 structural decompile
0x0016efa0,snes_p16_0016efa0,cpu-audio-runtime,medium-high,0x00115f3c,1,40,0,943a59c41badb8606b60d9a92da232c1d429f8c3f92ba6a2b2e3e834a9ed2d01,complete R5900 structural decompile
0x0016f10c,snes_p16_0016f10c,cpu-audio-runtime,medium-high,0x0015f1f8,15,42,0,8accffac833d225101d44976c5b73f5827403e6d5a57a088172698df19928315,complete R5900 structural decompile
0x0017028c,snes_p16_0017028c,cpu-audio-runtime,medium-high,0x00170468,14,46,0,ef0f48319b0aeb9f8b1f6ce88ceb9a93cb88c8cfcd59e355813747dc5a7293a7,complete R5900 structural decompile
0x0017124c,snes_p16_0017124c,cpu-audio-runtime,medium-high,0x00101380,2,48,0,40454a1ebe1ac736b88f71ff480e6496d899e69e26c48f26a3bd06381e545bde,complete R5900 structural decompile
0x00171348,snes_p16_00171348,cpu-audio-runtime,medium-high,0x00171218,1,61,0,99841feea5dd841318b543cb0187437d8848ba048d617441a3cf27797960e4b0,complete R5900 structural decompile
0x00171700,snes_p16_00171700,cpu-audio-runtime,medium-high,0x001712a8,1,159,0,33928ebd1ba934c15472b8a66f556e808165d434bdfea778d8a242bff5be06ed,complete R5900 structural decompile
0x00171e0c,snes_p16_00171e0c,cpu-audio-runtime,medium-high,0x00171458,11,122,0,c809d15a0e8badbce4c1f466f48dc5d78f85bb91b628a79eb7d7ef4992afa76b,complete R5900 structural decompile
